	id_str	cleaned_text	flat_words
50	535136361280720896	Rachel Maddow Has Some Very Tough Questions About Texas #Ebola Patient's Death   #follow #News #USA #retweet	Rachel Maddow Has Some Very Tough Questions About Texas Ebola Patient Death follow News USA retweet
51	535136364262862848	I see so many people joke around Ebola like can't you guys stop? It is not funny and it will never be funny. It's a serious issue.	I see many people joke around Ebola like can guy stop It funny never funny It serious issue
52	535136365378158592	BILLION BILL'S BLOG: Ebola epidemic may cost Africa $4bn – World Bank 	BILLION BILLS BLOG Ebola epidemic may cost Africa 4bn – World Bank
53	535136368741982208	Kidjo 'Do Cichero I LOOK like I have Ebola?' It was in a New York cab. 	Kidjo Do Cichero I LOOK like I Ebola It New York cab
54	535136373381287937	 : I love the fact that the queen is worrying about malaria and that it may now be being overlooked due to Ebola outbreak…	I love fact queen worry malaria may overlook due Ebola outbreak…
55	535136374509547521	 : they send the ebola patients to the far eastern side of nebraska because that is where the liberal savages live	send ebola patient far eastern side nebraska liberal savage live
56	535136376472498177	 : 16 new policy statements adopted by APHA today, addressing e-cigs, Ebola and more. Read about them all: …	16 new policy statement adopt APHA today address ecigs Ebola Read …
57	535136377915314177	Who knows, the Pittsburgh Penguins might have Ebola next	Who know Pittsburgh Penguins might Ebola next
58	535136383346941952	"  

Mike I'm not cross just disappointed! Lemon Swiss rolls are Ebola of the highest order! #victoriaSponge"	Mike Im cross disappoint Lemon Swiss roll Ebola highest order victoriaSponge
59	535136389277302785	" : Brooklyn Woman On Ebola Monitoring List Drops Dead Bleeding From ""Face, Mouth, Nose"" "	Brooklyn Woman On Ebola Monitoring List Drops Dead Bleeding From Face Mouth Nose
60	535136389340598272	 : Send a letter to #ebola survivors in Liberia at  #DayofPrayer 	Send letter ebola survivor Liberia DayofPrayer
61	535136390368231424	Ebola spreading intensely in Sierra Leone as toll rises: WHO 	Ebola spread intensely Sierra Leone toll rise WHO
62	535136399515590656	Agent Sasco - Badman Ting (Raw) [Ebola Riddim] November 2014 :  via 	Agent Sasco Badman Ting ( [ Riddim November 2014 via
63	535136402498125826	"""CDC Chief Drops Worst-Case Ebola Estimate"" by THE ASSOCIATED PRESS via NYT "	CDC Chief Drops WorstCase Ebola Estimate THE ASSOCIATED PRESS via NYT
64	535136406998634496	"""Amid Ebola Cases, Mali Braces Borders and Beyond"" by THE ASSOCIATED PRESS via NYT "	Amid Ebola Cases Mali Braces Borders Beyond THE ASSOCIATED PRESS via NYT
65	535136410085621760	"""Ebola Spreading Intensely in Sierra Leone as Toll Rises-WHO"" by REUTERS via NYT "	Ebola Spreading Intensely Sierra Leone Toll RisesWHO REUTERS via NYT
66	535136426787348481	Matt Damon, Morgan Freeman, Ben Affleck, Bono stay silent on Ebola response »« #News #????????_?????	Matt Damon Morgan Freeman Ben Affleck Bono stay silent Ebola response »« News
67	535136429194887170	 : Not qualifying for AFCON 2015 is prolly one of Nigeria's Ebola control strategies	Not qualify AFCON 2015 prolly one Nigeria Ebola control strategy
68	535136430906163202	I'm glad to announce to you, when Ebola came into Nigeria, we cursed it and today Nigeria is 150% free from Ebola. #PastorVictorGodwin	Im glad announce Ebola come Nigeria curse today Nigeria 150 free Ebola PastorVictorGodwin
69	535136433636642817	Meet The heros of First Consultant Hospital who helped fight Ebola  	Meet The hero First Consultant Hospital help fight Ebola
70	535136454272614400	The world is reacting too slowly to #Ebola, see One's powerful new video 	The world react slowly Ebola see One powerful new video
71	535136459712626691	#CDC #chief #drops worst-case #Ebola #es …: CDC chief drops worst-case Ebola es … Associated… 	CDC chief drop worstcase Ebola e … CDC chief drop worstcase Ebola e … Associated…
72	535136463265202177	Guests in studio for Ebola special  Send us your questions. Use #VOAEbola 	Guests studio Ebola special Send us question Use VOAEbola
73	535136475260547072	New cost-effective way to identify Ebola virus quickly #lifesciences 	New costeffective way identify Ebola virus quickly lifesciences
74	535136479908229122	Erica mena created Ebola from sucking those 300 dicks	Erica mena create Ebola suck 300 dick
75	535136492486524928	#Amid #Ebola #cases, #Mali #braces #borders …: Amid Ebola cases, Mali braces borders … Associated Press – 27… 	Amid Ebola case Mali brace border … Amid Ebola case Mali brace border … Associated Press – 27…
76	535136495246405632	   MELINDA, YOU ARE FIGHTING AN ENEMY TOUGHER THAN EBOLA. BEST WISHES TO YOU AND FOR THE CIVILIZATION AS WELL	MELINDA YOU ARE FIGHTING AN ENEMY TOUGHER THAN EBOLA BEST WISHES TO YOU AND FOR THE CIVILIZATION AS WELL
77	535136505078247425	Woman tests negative for Ebola in New York City after HAZMAT panic  via 	Woman test negative Ebola New York City HAZMAT panic via
78	535136506109640704	General: US Troops Who Contract Ebola Will Be Quarantined in Liberia  via 	General US Troops Who Contract Ebola Will Be Quarantined Liberia via
79	535136513085177857	 : Ebola threatens the progress made on AIDS. NEW  #EndEbola Video ft Bono, Ben Affleck, Will Ferrell &amp; more …	Ebola threatens progress make AIDS NEW EndEbola Video ft Bono Ben Affleck Will Ferrell amp …
80	535136514465087488	" : Looking forward to my AISNE keynote tomorrow: ""legal adventures &amp; hot topics"" including EBOLA screening, discipline commit…"	Looking forward AISNE keynote tomorrow legal adventure amp hot topic include EBOLA screen discipline commit…
81	535136520798490625	#World Health Organization says the Ebola outbreak in West Africa remains intense, with 533 new confirmed cases ... 	World Health Organization say Ebola outbreak West Africa remains intense 533 new confirm case
82	535136523663187968	#CDC #chief #drops worst-case #Ebola #es …: CDC chief drops worst-case Ebola es … Associated Press – 25 minutes ago… 	CDC chief drop worstcase Ebola e … CDC chief drop worstcase Ebola e … Associated Press – 25 minute ago…
83	535136522651979776	A great insight into the work of  and the people effected by Ebola in Liberia. https://t.co/cNg3CNwpP6 	A great insight work people effect Ebola Liberia https//tco/cNg3CNwpP6
84	535136531271651329	 : The world could rid itself of Ebola for the cost of one Bono #BandAid30 #vinb 	The world could rid Ebola cost one Bono BandAid30 vinb
85	535136532408328192	On the bright side, nobody will go and bring Ebola home this one Congo have scored	On bright side nobody go bring Ebola home one Congo score
86	535136533670404096	Ebola is a helical, filamentous virus that has a tendency to fold. Only time I've paid attention in micro all year.	Ebola helical filamentous virus tendency fold Only time I pay attention micro year
87	535136534417379328	 @1dNAGh: If they don't qualify they will use the ebola as excuse to comfort themselves.. Mark this	@ If qualify use ebola excuse comfort Mark
88	535136543091216384	Are the Super Eagles scared of participating in the Nations Cup in Equatorial Guinea due to 'The Ebola' virus fears? Very pedestrian!	Are Super Eagles scar participate Nations Cup Equatorial Guinea due The Ebola virus fear Very pedestrian
89	535136545549090816	" : #Ebola is still raging but our medics are there. Read our guide &amp; follow for breaking news 
 …"	Ebola still rag medic Read guide amp follow break news …
90	535136551668551680	 : Simpsons predicting Ebola - Oct 19, 1997. Goodluck sleeping tonight... 	Simpsons predict Ebola Oct 19 1997 Goodluck sleep tonight
91	535136554571030528	" : #Ebola Crisis at a ""Tipping Point:"" 2.5 Million Children under 5 Live in Affected Areas "	Ebola Crisis Tipping Point 25 Million Children 5 Live Affected Areas
92	535136558257823746	“: “: GOOD NEWS GUYS I DONT HAVE EBOLA”liar ” I DONT HAVE IT OKAY	“ “ GOOD NEWS GUYS I DONT HAVE EBOLA”liar ” I DONT HAVE IT OKAY
93	535136558907916288	So only around 38% of Ebola cases have been fatal, obviously hyped up by the media so much	So around 38 Ebola case fatal obviously hype medium much
94	535136565370945536	Ebola spreading intensely in Sierra Leone as toll rises: WHO: GENEVA (Reuters) - The toll in the Ebola epidemi... 	Ebola spread intensely Sierra Leone toll rise WHO GENEVA ( The toll Ebola epidemi
95	535136568437383168	 : Mindblowing tweets about Ebola.. Look at the date.. 	Mindblowing tweet Ebola Look date
96	535136581636464640	 Defund#Obamas Amnesty and #SecureOurBorders to protect us from #EBOLA. #POTUS #GOP #Boehner #Obama 	DefundObamas Amnesty SecureOurBorders protect us EBOLA POTUS GOP Boehner Obama
97	535136584794787840	 : Tuesday 69 military personnel returned to Ft. Bliss for a mandatory 21-day quarantine following a deployment in West Africa …	Tuesday 69 military personnel return Ft Bliss mandatory 21day quarantine follow deployment West Africa …
98	535136590348038144	 : One of those service members is being closely monitored for potential Ebola symptoms, the Pentagon said Wednesday.	One service member closely monitor potential Ebola symptom Pentagon say Wednesday
99	535136592634327041	 : Ebola coverage before and after midterms: CNN drops 335 segments to 10, Fox News falls 281 to 10, MSNBC 222 to 13 …	Ebola coverage midterm CNN drop 335 segment 10 Fox News fall 281 10 MSNBC 222 13 …
100	535136596098433024	Testimony: U.S. Must Be 'Extraordinarily Careful' About Letting #Ebola Come Here  	Testimony US Must Be Extraordinarily Careful About Letting Ebola Come Here
101	535136598665728000	Liberia reported only 80 new cases #Ebola, best week since July. 	Liberia report 80 new case Ebola best week since July
102	535136605875757056	"_hansel: What excuse do we have? We didn't even have Ebola."""""	hansel What excuse We even Ebola
103	535136610971828225	Ebola epidemic may cost Africa $4bn -World Bank #beyounews	Ebola epidemic may cost Africa 4bn World Bank beyounews
104	535136624926261250	 what is faggola? Is it like ebola but qyee-style?	faggola Is like ebola qyeestyle
105	535136635013570562	News: Hospital to feds: Pay $1 million in Ebola costs 	News Hospital fed Pay 1 million Ebola cost
106	535136637618249730	Ebola spreading intensely in Sierra Leone as toll rises: WHO GENEVA (Reuters) - The toll in the Ebola epidemic h... 	Ebola spread intensely Sierra Leone toll rise WHO GENEVA ( The toll Ebola epidemic h
107	535136638847180801	 : Frankly us Irish should be grateful the rest of the world dont nuke us for inflicting Geldof &amp; Bono on them …	Frankly us Irish grateful rest world dont nuke us inflict Geldof amp Bono …
108	535136646141067267	#IntlOrganizations World Bank Group Approves U.S.$285 Million Grant for Ongoing Ebola Crisis Response: … previ...  	IntlOrganizations World Bank Group Approves US285 Million Grant Ongoing Ebola Crisis Response … previ
109	535136647206420480	 : Guinea's  told me the team was tested for ebola AT THE STADIUM before their 4-1 win v Togo on Saturday. Sh…	Guinea tell team test ebola AT THE STADIUM 41 win v Togo Saturday Sh…
110	535136649169342464	 : Learn all about #Ebola with this free CE activity for #nurses, worth up to 3.0 contact hours!  http://…	Learn Ebola free CE activity nurse worth 30 contact hour http//…
111	535136652667396096	 : Latest #Ebola figures from : 5,420 deaths out of 15,145 reported cases. Background: 	Latest Ebola figure 5420 death 15145 report case Background
112	535136661831573504	A day in the life of an Ebola nurse in Liberia  via 	A day life Ebola nurse Liberia via
113	535136662452715520	"""You are Mali’s portal.""

“: Amid Ebola cases, Mali braces borders and beyond. ”"	You Mali’s portal “ Amid Ebola case Mali brace border beyond ”
114	535136662809239553	#AfricaHealth Obama: W. Africa still fights Ebola: President Barack Obama meets with his National S...  #AfyaKenya	AfricaHealth Obama W Africa still fight Ebola President Barack Obama meet National S AfyaKenya
115	535136663718998016	DTN World News: Reporter's Notebook: Inside Liberia's Ebola fight: USA TODAY reporter Gregg Zoroya reports fro... 	DTN World News Reporter Notebook Inside Liberia Ebola fight USA TODAY reporter Gregg Zoroya report fro
116	535136665455837184	buh Ghana will go to the african cup nd bring nothin but ebola	buh Ghana go african cup nd bring nothin ebola
117	535136666101751808	 : Animal Ebola guidance documents, hot off the press: Today, guidance documents coordinated by the US Centers fo... http:/…	Animal Ebola guidance document hot press Today guidance document coordinate US Centers fo http/…
118	535136672334487552	Panorama-Ebola frontline so sad change needs to happen	PanoramaEbola frontline sad change need happen
119	535136681692000257	#EbolaNurse #KaciHickox fights #Ebola and ignorance. Her haters promote both from the comfort of home.	EbolaNurse KaciHickox fight Ebola ignorance Her hater promote comfort home
120	535136682408816640	Now they must cancel the afcon ,,because of Ebola 	Now must cancel afcon Ebola
121	535136684342796288	#Ebola #response roadmap–#Situation #report, 19 November 2014 (, edited) 	Ebola response roadmap–Situation report 19 November 2014 ( edit
122	535136697390886912	"It costs just £20 per month to support one of the thousands of children orphaned by #Ebola. Please .

"	It cost 20 per month support one thousand child orphan Ebola Please
123	535136701874991105	#Ebola outbreak: $5.7m pledged for blood plasma trials.Vía  #clinictrials 	Ebola outbreak 57m pledge blood plasma trialsVía clinictrials
124	535136716253044736	Join CID at UT's Dr. Croyle at the #Ebola Exchange tonight 6:30 p.m. in SAC 2.410 for a student led open #discussion	Join CID UT Dr Croyle Ebola Exchange tonight 630 pm SAC 2410 student lead open discussion
125	535136720187318275	 : Bill Gates donates another $5.7 million to Ebola fight - New York Daily News 	Bill Gates donates another 57 million Ebola fight New York Daily News
126	535136727216955393	 it's ok I'm sick too. we really do have ebola . the government just doesn't want us to freak out .	ok Im sick really ebola government want us freak
127	535136728575533056	Support WFP’s responses to CARcrisis, Ebola outbreak, #Iraq, SouthSudan &amp; #Syria – donate  #TFB  	Support WFP’s response CARcrisis Ebola outbreak Iraq SouthSudan amp Syria – donate TFB
128	535136731406688256	"World Bank Sees $3-4 Billion Ebola Impact In Africa.

The World Bank now expects the impact of the Ebola epidemic... "	World Bank Sees 34 Billion Ebola Impact In Africa The World Bank expects impact Ebola epidemic
129	535136732703117312	 : Ebola nurse's ring was trashed, but she and fiance got a new one yesterday  via  …	Ebola nurse ring trash fiance get new one yesterday via …
130	535136735974653953	 : #dataviz: Nearly 1/2 of #Liberia's Workforce Out of Work Due to #Ebola Outbreak via  Look: …	dataviz Nearly 1/2 Liberia Workforce Out Work Due Ebola Outbreak via Look …
131	535136744715612160	  Zach if you want to remain FUNNY... Stay far away from Speech! He's the EBOLA of Stand Up!	Zach want remain FUNNY Stay far away Speech He EBOLA Stand Up
132	535136744988246017	 : TV news does a complete 180 on Ebola coverage after midterms  	TV news complete 180 Ebola coverage midterm
133	535136754702249984	 I should make clear that Ebola has not been definitively ruled out.	I make clear Ebola definitively rule
134	535136761916444672	 : Isaiah Morgan came back too Evansville lookin like a damn shaved bird .. Gettin no pussy but spreadin Ebola	Isaiah Morgan come back Evansville lookin like damn shave bird Gettin pussy spreadin Ebola
135	535136767394213888	 : A5. The impact social media has on how people perceive medical info is scary. Look @ how social media played a role w/ #e…	A5 The impact social medium people perceive medical info scary Look @ social medium play role w/ e…
136	535136769583640578	@__tomberesford its warehouse last Friday pal. Feel like I've got ebola	@ warehouse last Friday pal Feel like I get ebola
137	535136772184109056	" : $PZOO Radio - Healthy Investing: Healthy Ways To Cope With Scary News
  #Ebola #war http…"	PZOO Radio Healthy Investing Healthy Ways To Cope With Scary News Ebola war http…
138	535136774532890624	Liberians Daring Nuptials: Wedding Bells in Midst of Ebola 	Liberians Daring Nuptials Wedding Bells Midst Ebola
139	535136774792949760	"#WHO #CDC #EBOLA #BREAKINGNEWS #BULLISH  $SIMH ""World Health Organization says Ebola outbreak in West Africa remains 'intense';"	WHO CDC EBOLA BREAKINGNEWS BULLISH SIMH World Health Organization say Ebola outbreak West Africa remains intense
140	535136778663911426	 : …/Homeopaths-sent-deadly-Ebola-h… Homeopaths and Ayurveda gaining ground in international medicine final…	…/HomeopathssentdeadlyEbolah… Homeopaths Ayurveda gain ground international medicine final…
141	535136782531436544	 : Disinfecting Dutch navy ship Karel Doorman. Offloaded #ebola aid goods in Sierra Leone today. Off to Guinea now. …	Disinfecting Dutch navy ship Karel Doorman Offloaded ebola aid good Sierra Leone today Off Guinea …
142	535136782552018944	#Film #Director Bono, Ben Affleck and other celebrities stay silent in PSA on Ebola response -… #Star 	Film Director Bono Ben Affleck celebrity stay silent PSA Ebola response … Star
143	535136786113384450	"E BE LIKE U DEY MAD ABI? "": TF Is this the Ebola cure?: I dey go off my Gen...which kind Rubbish match be this?"	E BE LIKE U DEY MAD ABI TF Is Ebola cure I dey go Genwhich kind Rubbish match
144	535136789892452352	" : *Ebola joke*
everyone laughs 

*AIDS joke*
everyone laughs

*Cancer joke*
wtf is wrong with you? people die of Cancer!

-…"	Ebola joke everyone laugh AIDS joke everyone laugh Cancer joke wtf wrong people die Cancer …
145	535136790320259073	 @_RyanBatchelor: Wayne Rooney's oan 300 grand a week and he's asking me for a fiver tae help stop Ebola? Bolt ya fat mutant bastard	@ Wayne Rooney oan 300 grand week ask fiver tae help stop Ebola Bolt ya fat mutant bastard
146	535136791452319744	"Check out my latest post, ""Kaci Hickox: Secretly Snoozing the 15-Minute Alarm""  via #mepolitics #kacihickox #ebola"	Check latest post Kaci Hickox Secretly Snoozing 15Minute Alarm via mepolitics kacihickox ebola
147	535136793210134528	Great  article on yesterday's  #Ebola hearing. Need more #healthworkers to #StopEbola 	Great article yesterday Ebola hearing Need healthworkers StopEbola
148	535136801653280770	 : Ebola passes obesity as health concern among Americans (via ). Ebola has a good marketing guy …	Ebola pass obesity health concern among Americans ( ) Ebola good marketing guy …
149	535137800891682816	#news Star-studded silent video urges greater Ebola response: U2 frontman Bono and Osca...  	news Starstudded silent video urge greater Ebola response U2 frontman Bono Osca
150	535137805367001088	All you man on the train walking away from me cause I'm sneezing chill... It's a cold not Ebola ffs	All man train walk away cause Im sneeze chill It cold Ebola ffs
151	535137817785937920	 : #ElPaso student's sibling placed on Ebola watch after returning from West Africa  	ElPaso student sibling place Ebola watch return West Africa
152	535137825034108928	 |NewMusic| - PreMeditated Murder |EBOLA| |     |Listen|DownLoad||	NewMusic PreMeditated Murder EBOLA ListenDownLoad
153	535137853010108416	reposting but I seriously can't believe I would recommend everyone do some reading about Ebola and how it spreads.	reposting I seriously can believe I would recommend everyone reading Ebola spread
154	535137833904648192	 | Ebola's impact on Africa economy less than feared 	Ebola impact Africa economy less fear
155	535137837138841601	 : Ibrahima Traore has to beg to play for Guinea because of fears he could contract Ebola  …	Ibrahima Traore beg play Guinea fear could contract Ebola …
156	535137857615450112	 : Food prices soaring across #WestAfrica because of #Ebola—why are rural areas more affected? Find out on : …	Food price soar across WestAfrica Ebola—why rural area affect Find …
157	535137859221860352	 : Secy H&amp;FW, Sh Lov Verma: #Ebola our top priority. Teams will go to states to inspect isolation facilities; they will be st…	Secy HampFW Sh Lov Verma Ebola top priority Teams go state inspect isolation facility st…
158	535137876670169088	 : When she got Ebola but you still want to fuck 	When get Ebola still want fuck
159	535137880134660097	"""The Christian pop. in Nigeria is almost 3x the # England &amp; Wales. How couldn't they know it’s Christmas?""  #BandAid30"	The Christian pop Nigeria almost 3x England amp Wales How could know it’s Christmas BandAid30
160	535137888539648000	Ebola cure: WATER! Drinking a gallon of fluid daily recognized as key to survival   via 	Ebola cure WATER Drinking gallon fluid daily recognize key survival via
161	535137992529444864	 : Yorkshire Accent: More infectious than Ebola!	Yorkshire Accent More infectious Ebola
162	535137998489534464	 : To stop #Ebola, we must break fear with truth --     #FusionRiseUp …	To stop Ebola must break fear truth FusionRiseUp …
163	535138003921145856	IMF, World Bank policies may share blame in #Ebola crisis 	IMF World Bank policy may share blame Ebola crisis
164	535138004130869248	Nurse gets new ring, new chance at life, after #Ebola. 	Nurse get new ring new chance life Ebola
165	535138021763723264	" : Bono, Ellie Goulding, Ben Affleck, Morgan Freeman &amp; more team up for powerful #Ebola video:
 …"	Bono Ellie Goulding Ben Affleck Morgan Freeman amp team powerful Ebola video …
166	535138025081413632	Gates to Fund Ebola Survivor Blood, Chimerix Drug Trials |  	Gates Fund Ebola Survivor Blood Chimerix Drug Trials
167	535138026813685762	"PSID (Industry News) Ebola Death Toll Rises 5,420 / Cuban Dr Tests Positive
"	PSID ( News Ebola Death Toll Rises 5420 / Cuban Dr Tests Positive
168	535138027262455808	Just because its not in the news as much, Ebola is still happening every day. #StopEbola #Heartbreaking #BandAid 	Just news much Ebola still happen every day StopEbola Heartbreaking BandAid
169	535138030504263680	On behalf of , Kofi Annan tells West African leaders: the world must do more to help you tackle #Ebola 	On behalf Kofi Annan tell West African leader world must help tackle Ebola
170	535138207391023104	 shit better cure cancer, ebola, aids and wash my sins away if I'm paying more than my car. Just sayin lol.	shit better cure cancer ebola aid wash sin away Im pay car Just sayin lol
